#      dist        eig   iband        s       pz       px       py    dz2r2      dxz      dyz      dxy    dx2y2      fm0     f+m1     f-m1     f+m2     f-m2     f+m3     f-m3  
    0.21594   -9.96894       3    6.003    8.229    8.229    4.222    0.118    0.001    0.132    0.132    0.069    0.010    0.005    0.013    0.007    0.001    0.006    0.008
    0.21594   -8.04762       4    0.297    6.591    6.591   13.123    0.189    0.167    0.028    0.028    0.077    0.008    0.017    0.002    0.001    0.011    0.001    0.002
    0.21594    6.81557       5    1.550    3.107    3.107   10.934    0.891    0.011    0.918    0.918    0.368    0.010    0.015    0.022    0.001    0.025    0.020    0.031
    0.21594    8.03104       6    9.221    4.432    4.432    7.652    0.339    0.002    0.943    0.943    0.452    0.027    0.030    0.026    0.019    0.026    0.023    0.016
    0.22730   -9.83048       3    6.164    8.382    8.382    3.971    0.115    0.003    0.139    0.139    0.070    0.011    0.005    0.013    0.007    0.000    0.007    0.008
    0.22730   -7.91403       4    0.290    6.582    6.582   13.335    0.186    0.174    0.030    0.030    0.078    0.008    0.018    0.002    0.001    0.011    0.001    0.002
    0.22730    6.74500       5    1.565    3.278    3.278   10.593    0.895    0.011    0.910    0.910    0.370    0.011    0.014    0.023    0.001    0.024    0.020    0.032
    0.22730    7.96208       6    9.460    4.434    4.434    7.470    0.328    0.003    0.945    0.945    0.458    0.028    0.030    0.025    0.019    0.025    0.023    0.016
    0.23867   -9.68658       3    6.279    8.541    8.541    3.742    0.112    0.004    0.146    0.146    0.071    0.011    0.004    0.014    0.007    0.000    0.007    0.009
    0.23867   -7.78107       4    0.282    6.571    6.571   13.553    0.183    0.182    0.032    0.032    0.078    0.008    0.019    0.002    0.001    0.012    0.001    0.002
    0.23867    6.67853       5    1.576    3.453    3.453   10.252    0.900    0.011    0.903    0.903    0.372    0.011    0.013    0.023    0.002    0.023    0.021    0.032
    0.23867    7.89414       6    9.682    4.429    4.429    7.307    0.319    0.003    0.947    0.947    0.464    0.029    0.030    0.025    0.019    0.024    0.023    0.015
    0.25003   -9.56662       3    6.321    8.796    8.796    3.510    0.112    0.004    0.155    0.155    0.070    0.011    0.004    0.011    0.007    0.000    0.007    0.007
    0.25003   -7.65038       4    0.273    6.548    6.548   13.806    0.182    0.190    0.033    0.033    0.079    0.008    0.019    0.002    0.001    0.012    0.001    0.002
    0.25003    6.58343       5    1.573    3.681    3.681    9.970    0.896    0.012    0.924    0.924    0.370    0.013    0.012    0.022    0.000    0.020    0.021    0.030
    0.25003    7.82716       6    9.905    4.421    4.421    7.146    0.310    0.003    0.949    0.949    0.470    0.030    0.030    0.024    0.019    0.023    0.023    0.015
    0.26140   -9.41478       3    6.352    8.968    8.968    3.318    0.110    0.005    0.162    0.162    0.070    0.011    0.004    0.012    0.006    0.000    0.008    0.008
    0.26140   -7.51942       4    0.262    6.532    6.532   14.039    0.178    0.197    0.035    0.035    0.080    0.008    0.019    0.002    0.001    0.012    0.001    0.003
