#           eng            dos          occup          e_sum
        2.28000        0.07610        8.01116       20.97158
        2.32000        0.09907        8.01467       21.02767
        2.36000        0.11805        8.01904       21.09768
        2.40000        0.12706        8.02398       21.17693
        2.44000        0.12612        8.02907       21.25868
        2.48000        0.12174        8.03402       21.33842
        2.52000        0.12225        8.03887       21.41677
        2.56000        0.13240        8.04393       21.49875
        2.60000        0.15124        8.04958       21.59062
        2.64000        0.17368        8.05608       21.69650
        2.68000        0.19409        8.06345       21.81685
        2.72000        0.20974        8.07154       21.94927
        2.76000        0.22203        8.08018       22.09098
        2.80000        0.23410        8.08930       22.24089
        2.84000        0.24652        8.09892       22.39933
        2.88000        0.25504        8.10897       22.56538
        2.92000        0.25290        8.11918       22.73420
        2.96000        0.23619        8.12901       22.89709
        3.00000        0.20767        8.13791       23.04486
        3.04000        0.17630        8.14558       23.17240
        3.08000        0.15321        8.15213       23.28151
        3.12000        0.14813        8.15808       23.38116
        3.16000        0.16815        8.16431       23.48597
        3.20000        0.21728        8.17192       23.61446
        3.24000        0.29450        8.18207       23.78640
        3.28000        0.39030        8.19573       24.01825
        3.32000        0.48460        8.21328       24.31647
        3.36000        0.55053        8.23412       24.67110
        3.40000        0.56586        8.25664       25.05462
        3.44000        0.52718        8.27866       25.43004
        3.48000        0.45507        8.29836       25.76638
        3.52000        0.38313        8.31507       26.05219
        3.56000        0.33826        8.32938       26.29773
        3.60000        0.32820        8.34260       26.52537
        3.64000        0.34414        8.35599       26.75661
        3.68000        0.37143        8.37029       27.00429
        3.72000        0.39762        8.38569       27.27167
        3.76000        0.41531        8.40198       27.55510
        3.80000        0.42303        8.41877       27.84785
        3.84000        0.42482        8.43574       28.14420
        3.88000        0.42644        8.45276       28.44214
        3.92000        0.42985        8.46988       28.74261
        3.96000        0.43164        8.48713       29.04587
        4.00000        0.42778        8.50434       29.34916
        4.04000        0.41949        8.52129       29.64853
        4.08000        0.41430        8.53794       29.94326
        4.12000        0.42204        8.55461       30.23914
        4.16000        0.44941        8.57196       30.54814
        4.20000        0.49588        8.59082       30.88464
        4.24000        0.55159        8.61176       31.25935
        4.28000        0.59923        8.63484       31.67298
        4.32000        0.62122        8.65935       32.11315
        4.36000        0.60944        8.68408       32.55771
        4.40000        0.57010        8.70774       32.98381
        4.44000        0.51985        8.72954       33.37722
        4.48000        0.47740        8.74943       33.73697
        4.52000        0.45678        8.76803       34.07421
        4.56000        0.46369        8.78634       34.40741
        4.60000        0.49383        8.80544       34.75563
        4.64000        0.53431        8.82599       35.13146
        4.68000        0.56953        8.84811       35.53667
        4.72000        0.58814        8.87133       35.96283
        4.76000        0.58635        8.89488       36.39591
        4.80000        0.56800        8.91801       36.82188
        4.84000        0.54474        8.94026       37.23240
        4.88000        0.53512        8.96177       37.63050
